index,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,category,TasterName,TastingDate,Country,Price,QuantitySold,ProduceDate,Sequence Tasting
5546,6.1,0.3,0.32,2.2,0.042,41,142,0.98952,3.31,0.44,12.7,7,white,Alice,11/12/2022,Spain,43.81,58,3/11/2009,884
5553,6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5,white,Alice,9/22/2021,USA,43.73,94,5/11/2012,885
5557,5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6,white,Alice,3/20/2022,Argentina,74.13,96,2/13/2009,886
5561,7.2,0.58,0.27,5.8,0.032,40,118,0.99088,3.17,0.53,13,7,white,Alice,11/5/2022,Argentina,61.01,89,9/13/2017,887
5564,7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2,4,white,Alice,3/15/2021,USA,26.85,86,3/6/2001,888
5569,6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8,7,white,Alice,4/21/2022,USA,67.04,13,7/6/2014,889
5577,6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4,7,white,Alice,6/12/2020,USA,28.65,48,11/18/2007,890
5581,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,7,white,Alice,8/4/2020,Argentina,62.51,91,12/9/2015,891
5586,7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6,white,Alice,8/14/2020,Spain,21.62,31,8/22/2010,892
5588,6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6,white,Alice,12/30/2020,USA,18.86,59,7/19/2010,893
5598,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6,white,Alice,10/3/2022,Italy,42.09,21,10/2/2003,894
5607,6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2,6,white,Alice,4/19/2022,Spain,64.26,19,4/22/2008,895
5610,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7,white,Alice,9/6/2020,Argentina,17.5,2,11/26/2005,896
5614,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,5,white,Alice,5/25/2021,USA,58.06,17,3/13/2008,897
5631,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,5,white,Alice,8/24/2020,Argentina,91.87,56,4/6/2001,898
5641,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,white,Alice,7/9/2020,Italy,15.93,64,3/21/2010,899
5645,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,7,white,Alice,4/6/2020,Argentina,83.57,55,10/5/2005,900
5646,6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,6,white,Alice,3/25/2021,France,74.83,86,5/16/2002,901
5650,6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6,white,Alice,1/30/2021,Spain,82.13,52,10/10/2007,902
5655,6.5,0.43,0.18,13.15,0.032,25,131,0.99565,3.23,0.51,10.7,5,white,Alice,12/9/2021,France,27.31,15,11/20/2010,903
5676,5.7,0.25,0.21,1.5,0.044,21,108,0.99142,3.3,0.59,11,6,white,Alice,5/1/2022,Australia,58.55,48,9/27/2006,904
5682,6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1,5,white,Alice,11/7/2021,Italy,26.27,65,10/8/2009,905
5693,6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8,7,white,Alice,3/23/2020,Italy,83.43,9,10/13/2009,906
5696,6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,6,white,Alice,11/16/2020,France,91.09,20,9/19/2014,907
5701,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,5,white,Alice,6/1/2020,France,83.27,64,2/6/2003,908
5703,6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5,7,white,Alice,4/27/2021,Italy,46.19,72,7/17/2016,909
5704,6.9,0.3,0.45,1.4,0.039,36,122,0.99059,3.07,0.47,11.1,7,white,Alice,9/2/2021,France,65.49,82,10/5/2013,910
5714,7.3,0.26,0.32,1.2,0.041,29,94,0.98978,3.07,0.45,12,6,white,Alice,6/24/2020,Spain,59.38,84,11/17/2015,911
5719,7.4,0.28,0.5,12.1,0.049,48,122,0.9973,3.01,0.44,9,5,white,Alice,10/6/2022,Australia,44.4,94,10/1/2015,912
5724,6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10,5,white,Alice,12/25/2021,Argentina,45.45,12,5/31/2007,913
5726,6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,5,white,Alice,1/28/2020,France,32.32,14,6/1/2001,914
5729,6.8,0.29,0.32,1.8,0.032,18,130,0.99095,3.05,0.62,11.2,6,white,Alice,8/7/2020,Italy,42.58,47,10/22/2008,915
5731,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,5,white,Alice,1/11/2022,Argentina,41.48,21,3/6/2000,916
5732,5.7,0.25,0.27,11.5,0.04,24,120,0.99411,3.33,0.31,10.8,6,white,Alice,9/9/2020,Australia,59.86,53,5/26/2014,917
5735,5.9,0.65,0.23,5,0.035,20,128,0.99016,3.46,0.48,12.8,6,white,Alice,11/23/2022,Italy,12.93,83,2/7/2000,918
5742,6.1,0.25,0.28,10,0.055,56,131,0.994,3.22,0.35,10.9,6,white,Alice,2/18/2020,Spain,47.82,52,4/8/2004,919
5746,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,7,white,Alice,12/28/2022,Argentina,12.78,70,10/10/2012,920
5754,6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5,white,Alice,7/1/2020,Spain,82.77,89,11/22/2004,921
5763,7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,5,white,Alice,12/3/2021,Australia,71.2,46,10/30/2003,922
5766,6.3,0.17,0.32,1,0.04,39,118,0.98886,3.31,0.4,13.1,8,white,Alice,8/30/2022,Australia,57.38,46,11/3/2003,923
5767,6,0.19,0.26,1.4,0.039,30,104,0.98998,3.32,0.41,12.4,6,white,Alice,9/11/2021,Australia,99.96,67,8/21/2005,924
5768,6.7,0.21,0.34,1.5,0.035,45,123,0.98949,3.24,0.36,12.6,7,white,Alice,5/1/2021,Italy,17.17,87,3/24/2006,925
5797,7.9,0.36,0.53,12.9,0.049,63,139,0.99792,2.94,0.45,9.1,5,white,Alice,12/16/2022,Italy,51.61,59,10/9/2006,926
5801,6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,6,white,Alice,1/30/2021,France,34.11,76,9/30/2010,927
5802,6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1,5,white,Alice,2/23/2022,Italy,76.62,51,6/26/2017,928
5810,7.1,0.38,0.42,11.8,0.041,32,193,0.99624,3.04,0.49,10,6,white,Alice,7/4/2021,Italy,82.4,96,6/25/2004,929
5812,6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,4,white,Alice,7/12/2020,USA,86.17,22,7/17/2015,930
5819,6,0.19,0.29,1.2,0.046,29,92,0.99033,3.22,0.53,11.3,6,white,Alice,11/6/2020,Australia,84.01,87,11/29/2013,931
5834,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5,white,Alice,8/11/2022,Italy,47.44,89,4/16/2006,932
5844,7.6,0.35,0.47,13.3,0.037,42,116,0.99822,3.04,0.5,9.2,5,white,Alice,1/26/2022,Australia,57.87,91,11/6/2009,933
5846,6.6,0.36,0.47,1.4,0.145,26,124,0.99274,3.09,0.56,10.1,6,white,Alice,9/13/2020,USA,49.48,88,9/13/2014,934
5860,6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7,white,Alice,6/20/2022,France,97.52,16,2/27/2008,935
5861,6.9,0.52,0.54,7.9,0.036,23,169,0.99267,3.26,0.47,12.2,6,white,Alice,6/3/2020,USA,74.5,94,9/28/2012,936
5866,6,0.29,0.27,2.3,0.044,20,117,0.9895,3.31,0.41,12.7,7,white,Alice,9/29/2022,USA,80.4,50,2/9/2007,937
5869,6.6,0.21,0.3,9.9,0.041,64,174,0.995,3.07,0.5,10.1,6,white,Alice,12/2/2021,USA,38.94,7,8/19/2013,938
5871,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6,white,Alice,4/16/2022,France,82.1,33,8/6/2000,939
5872,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6,white,Alice,2/11/2021,Argentina,38.74,67,10/6/2004,940
5876,7.2,0.22,0.35,5.5,0.054,37,183,0.99474,3.08,0.5,10.3,5,white,Alice,2/16/2021,Australia,35.25,58,2/28/2002,941
5883,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6,white,Alice,12/13/2021,France,74.36,13,8/21/2009,942
5884,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6,white,Alice,8/8/2020,USA,78.71,66,7/11/2002,943
5885,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6,white,Alice,6/29/2021,USA,40.6,12,6/23/2013,944
5887,7,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5,6,white,Alice,5/2/2020,USA,56.37,10,6/7/2015,945
5889,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5,white,Alice,1/12/2021,Spain,27.81,24,5/23/2003,946
5895,6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,6,white,Alice,3/30/2021,Italy,52.63,8,9/27/2007,947
5898,6.3,0.28,0.3,6.6,0.208,60,154,0.99478,3.1,0.4,9.4,6,white,Alice,11/2/2020,Spain,60.87,41,7/15/2013,948
5903,6.1,0.24,0.25,1.6,0.044,24,115,0.9921,3.39,0.59,10.9,6,white,Alice,11/3/2021,Australia,20.42,23,9/20/2017,949
5919,6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,5,white,Alice,9/25/2021,France,37.41,35,7/23/2006,950
5924,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5,white,Alice,9/19/2021,USA,98.71,9,2/13/2015,951
5938,6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,8,white,Alice,5/27/2020,Australia,15.49,85,6/12/2005,952
5941,5.7,0.28,0.35,1.2,0.052,39,141,0.99108,3.44,0.69,11.3,6,white,Alice,2/11/2020,France,88.19,94,7/3/2010,953
5946,7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,7,white,Alice,2/21/2021,Italy,24.49,12,10/29/2010,954
5950,6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,6,white,Alice,8/11/2021,Argentina,91.27,94,6/26/2009,955
5953,6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,6,white,Alice,12/5/2020,Australia,40.03,2,10/6/2017,956
5956,5.9,0.28,0.34,3.6,0.04,50,194,0.9912,3.31,0.52,11.6,6,white,Alice,10/12/2022,Italy,96.26,60,11/17/2016,957
5965,5.9,0.29,0.28,3.2,0.035,16,117,0.98959,3.26,0.42,12.6,6,white,Alice,4/5/2021,USA,47.73,80,8/8/2000,958
5977,6.5,0.315,0.2,6.6,0.041,9,126,0.99494,2.94,0.51,8.8,5,white,Alice,4/12/2020,France,52.63,33,7/19/2000,959
5981,7,0.24,0.26,1.7,0.041,31,110,0.99142,3.2,0.53,11,6,white,Alice,9/20/2021,France,91.16,18,9/13/2013,960
5993,6.3,0.2,0.26,12.7,0.046,60,143,0.99526,3.26,0.35,10.8,6,white,Alice,11/7/2022,USA,15.4,45,9/18/2000,961
5995,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5,white,Alice,1/30/2022,Australia,88.12,74,9/8/2005,962
6001,6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,6,white,Alice,5/21/2020,Australia,21.6,24,2/22/2011,963
6004,5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5,white,Alice,6/26/2021,Italy,77.03,89,12/26/2004,964
6017,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6,white,Alice,10/22/2020,USA,50.56,86,2/24/2000,965
6028,6.1,0.31,0.34,2.8,0.042,59.5,162,0.99179,3.27,0.47,10.8,6,white,Alice,3/27/2022,Italy,64.65,78,11/30/2006,966
6035,6.7,0.28,0.28,4.5,0.051,14,92,0.99224,3.36,0.58,11.9,6,white,Alice,5/31/2020,Australia,92.15,98,3/12/2005,967
6037,6.1,0.21,0.19,1.4,0.046,51,131,0.99184,3.22,0.39,10.5,5,white,Alice,7/23/2022,Spain,37.84,48,1/2/2006,968
6039,6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,5,white,Alice,3/21/2022,France,95.42,71,8/19/2011,969
6040,6.6,0.27,0.25,1.2,0.033,36,111,0.98918,3.16,0.37,12.4,6,white,Alice,11/15/2020,Italy,36.69,45,9/30/2011,970
6042,7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5,white,Alice,7/25/2020,France,51.67,66,4/2/2013,971
6046,6.6,0.38,0.29,2.9,0.035,15,101,0.98916,3.04,0.37,12.5,6,white,Alice,12/16/2022,France,57.46,33,2/11/2015,972
6047,7.3,0.3,0.25,2.5,0.045,32,122,0.99329,3.18,0.54,10.3,5,white,Alice,3/21/2020,Italy,97.92,26,10/17/2001,973
6061,7.1,0.42,0.2,2.8,0.038,28,109,0.98968,3.23,0.47,13.4,6,white,Alice,1/19/2021,Spain,62.78,30,10/16/2005,974
6068,6.4,0.23,0.27,2.1,0.042,35,100,0.99094,3.03,0.63,10.9,6,white,Alice,12/30/2021,Spain,20.08,92,2/3/2018,975
6069,4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,6,white,Alice,12/30/2022,Spain,27.25,39,10/6/2007,976
6073,5.7,0.25,0.22,9.8,0.049,50,125,0.99571,3.2,0.45,10.1,6,white,Alice,7/8/2022,Australia,37.81,62,12/14/2008,977
6103,6.5,0.32,0.23,8.5,0.051,20,138,0.9943,3.03,0.42,10.7,5,white,Alice,3/10/2021,USA,81.38,86,10/8/2009,978
6108,6.7,0.23,0.17,1.3,0.061,14,100,0.9925,3.07,0.55,9.5,5,white,Alice,2/10/2020,Argentina,95.46,48,7/7/2004,979
6142,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,white,Alice,5/16/2022,France,71,41,11/13/2008,980
6150,7,0.23,0.32,1.8,0.048,25,113,0.9915,3.11,0.47,11.1,6,white,Alice,8/2/2022,Australia,27.6,50,3/2/2009,981
6155,6.1,0.2,0.4,1.9,0.028,32,138,0.9914,3.26,0.72,11.7,5,white,Alice,3/14/2021,USA,77.57,83,6/14/2000,982
6164,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5,white,Alice,7/1/2020,USA,20.74,54,5/10/2015,983
6168,6.2,0.2,0.32,2.8,0.05,17,126,0.9936,3.18,0.55,9.4,6,white,Alice,10/15/2020,USA,91.79,58,6/24/2010,984
6173,6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9,7,white,Alice,11/6/2020,Spain,18.99,15,10/22/2014,985
6200,6.9,0.23,0.35,6.9,0.03,45,116,0.99244,2.8,0.54,11,6,white,Alice,10/23/2021,Spain,55.31,35,1/19/2016,986
6207,6.2,0.36,0.27,3.2,0.032,13,73,0.98942,2.9,0.69,12.6,7,white,Alice,12/31/2022,Italy,16.61,14,8/13/2014,987
6210,5.9,0.42,0.36,2.4,0.034,19,77,0.99184,3.25,0.48,10.9,5,white,Alice,10/5/2022,USA,82.16,60,2/7/2017,988
6219,6.4,0.38,0.19,4.5,0.038,36,119,0.99151,3.07,0.42,11.2,6,white,Alice,12/29/2022,Argentina,12.82,86,1/6/2011,989
6228,5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,7,white,Alice,7/1/2022,Australia,77.36,11,5/7/2007,990
6229,5.7,0.25,0.32,12.2,0.041,43,127,0.99524,3.23,0.53,10.4,7,white,Alice,1/21/2022,Italy,99.9,6,1/10/2000,991
6236,6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.73333333,6,white,Alice,12/11/2022,USA,47.58,56,12/23/2001,992
6244,5,0.24,0.34,1.1,0.034,49,158,0.98774,3.32,0.32,13.1,7,white,Alice,1/2/2020,Italy,56.73,27,2/22/2007,993
6253,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.96666667,7,white,Alice,5/8/2022,Australia,70.17,75,5/26/2018,994
6257,7.1,0.43,0.25,2.8,0.036,43,132,0.98975,3.21,0.47,13.4,6,white,Alice,6/2/2021,France,78.09,94,9/14/2007,995
6260,8,0.23,0.41,1.1,0.048,35,150,0.99168,3.09,0.47,11.2,5,white,Alice,8/10/2022,Italy,66.62,92,7/8/2003,996
6264,7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,6,white,Alice,12/9/2021,Australia,26.77,95,12/24/2000,997
6270,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,5,white,Alice,8/10/2020,USA,27.91,24,9/8/2005,998
6271,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,5,white,Alice,9/21/2022,Argentina,27.87,89,8/18/2004,999
6277,6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,6,white,Alice,5/9/2022,Italy,10.16,76,6/20/2016,1000
6279,6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4,white,Alice,10/24/2021,Argentina,17.37,76,8/24/2005,1001
6280,5.6,0.27,0.37,0.9,0.025,11,49,0.98845,3.29,0.33,13.1,6,white,Alice,7/2/2021,USA,58.78,24,10/27/2005,1002
6294,6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,7,white,Alice,3/7/2020,Italy,24.75,78,2/23/2003,1003
6298,6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,5,white,Alice,9/16/2020,Australia,14.12,44,8/25/2018,1004
6300,6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,6,white,Alice,6/24/2020,USA,47.23,47,1/2/2000,1005
6301,6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,6,white,Alice,12/11/2020,Argentina,38.58,54,1/29/2004,1006
6311,5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,6,white,Alice,5/20/2021,USA,14.65,3,8/31/2006,1007
6315,5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6,white,Alice,5/30/2020,France,62.86,18,6/28/2014,1008
6319,6.6,0.27,0.32,1.3,0.044,18,93,0.99044,3.11,0.56,12.25,5,white,Alice,3/4/2022,Argentina,81.01,2,8/23/2014,1009
6320,6.1,0.32,0.33,10.7,0.036,27,98,0.99521,3.34,0.52,10.2,6,white,Alice,1/11/2021,Italy,54.55,34,3/5/2004,1010
6321,6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,6,white,Alice,1/1/2022,Italy,63.48,87,1/27/2010,1011
6349,6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5,white,Alice,3/27/2021,France,98.24,70,12/31/2004,1012
6351,5.1,0.25,0.36,1.3,0.035,40,78,0.9891,3.23,0.64,12.1,7,white,Alice,10/6/2021,France,87.89,72,8/25/2010,1013
6353,6.4,0.19,0.35,10.2,0.043,40,106,0.99632,3.16,0.5,9.7,6,white,Alice,2/18/2020,France,96.13,42,5/11/2008,1014
6372,5.2,0.21,0.31,1.7,0.048,17,61,0.98953,3.24,0.37,12,7,white,Alice,2/17/2022,USA,85.8,91,10/27/2007,1015
6385,4.4,0.32,0.39,4.3,0.03,31,127,0.98904,3.46,0.36,12.8,8,white,Alice,8/14/2021,USA,63.55,98,5/8/2016,1016
6398,6.2,0.26,0.2,8,0.047,35,111,0.99445,3.11,0.42,10.4,6,white,Alice,4/9/2022,Spain,93.56,71,6/6/2004,1017
6401,5.8,0.28,0.34,2.2,0.037,24,125,0.98986,3.36,0.33,12.8,8,white,Alice,1/19/2020,Argentina,37.04,75,11/22/2003,1018
6402,6.4,0.31,0.5,5.8,0.038,42,111,0.99189,3.18,0.53,11.9,7,white,Alice,7/26/2022,Spain,62.14,23,6/10/2012,1019
6419,5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,5,white,Alice,10/6/2020,Argentina,66.76,29,9/1/2018,1020
6431,5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,5,white,Alice,1/16/2022,Australia,47.22,38,1/23/2006,1021
6439,6.8,0.34,0.36,8.9,0.029,44,128,0.99318,3.28,0.35,11.95,7,white,Alice,3/10/2021,Spain,83.7,72,12/23/2015,1022
6441,6.2,0.28,0.57,1,0.043,50,92,0.99004,3.17,0.36,11.5,6,white,Alice,6/2/2022,Australia,20.88,98,1/20/2009,1023
6445,5.1,0.3,0.3,2.3,0.048,40,150,0.98944,3.29,0.46,12.2,6,white,Alice,12/4/2020,Italy,60.84,84,4/29/2012,1024
6456,7.5,0.38,0.33,9.2,0.043,19,116,0.99444,3.08,0.42,11.4,6,white,Alice,4/30/2021,Argentina,30.12,7,12/23/2005,1025
6457,6.4,0.35,0.51,7.8,0.055,53,177,0.99502,3.12,0.45,9.6,5,white,Alice,7/4/2021,France,33.89,74,8/29/2011,1026
6464,6.2,0.355,0.35,2,0.046,31,95,0.98822,3.06,0.46,13.6,6,white,Alice,12/15/2020,USA,47.88,50,2/23/2002,1027
6469,6.1,0.32,0.28,6.6,0.021,29,132,0.99188,3.15,0.36,11.45,7,white,Alice,1/8/2021,USA,19.64,12,12/31/2017,1028
6473,5.6,0.2,0.36,2.5,0.048,16,125,0.99282,3.49,0.49,10,6,white,Alice,4/28/2020,Argentina,63.75,85,2/6/2005,1029
6476,5.9,0.54,0,0.8,0.032,12,82,0.99286,3.25,0.36,8.8,5,white,Alice,6/13/2022,Spain,58.99,89,8/1/2000,1030
6486,6.2,0.41,0.22,1.9,0.023,5,56,0.98928,3.04,0.79,13,7,white,Alice,2/9/2021,Italy,29.95,54,4/26/2010,1031
6493,6.6,0.32,0.36,8,0.047,57,168,0.9949,3.15,0.46,9.6,5,white,Alice,2/26/2020,Argentina,30.26,32,3/4/2018,1032
6,7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,red,Bob,8/17/2022,Argentina,34.75,80,7/29/2006,1
8,7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,red,Bob,1/14/2022,Australia,37.71,95,1/11/2002,2
20,8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,red,Bob,12/4/2022,Italy,64.73,19,2/14/2001,3
21,7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,red,Bob,9/19/2022,Spain,59.83,92,2/27/2005,4
36,7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,red,Bob,3/8/2021,Argentina,62.62,2,3/31/2012,5
37,8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,red,Bob,7/13/2021,Argentina,99.83,34,6/25/2005,6
45,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,red,Bob,6/6/2022,Spain,97.1,31,3/8/2014,7
50,8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,red,Bob,6/8/2022,Argentina,74.14,4,7/24/2005,8
56,10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,red,Bob,12/17/2020,Italy,97.35,35,3/4/2008,9
59,7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,red,Bob,5/20/2021,USA,87.42,70,6/13/2003,10
64,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,red,Bob,5/25/2022,Argentina,68.12,66,1/20/2001,11
72,7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,red,Bob,6/17/2020,Spain,88.67,98,5/9/2000,12
74,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5,red,Bob,2/5/2020,Argentina,72.3,30,3/11/2018,13
82,7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,red,Bob,6/16/2021,Italy,58.36,45,10/7/2013,14
91,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,red,Bob,10/29/2021,USA,86.29,68,4/13/2018,15
93,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,red,Bob,2/24/2021,Italy,31.84,85,11/16/2018,16
97,7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5,red,Bob,8/9/2020,USA,77.36,56,9/25/2014,17
102,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,red,Bob,10/30/2021,Italy,35.4,14,12/30/2003,18
107,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,red,Bob,4/6/2021,France,21.12,60,11/20/2007,19
116,8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,red,Bob,4/9/2021,France,52.74,17,4/14/2002,20
123,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,red,Bob,9/1/2021,Australia,81.62,78,4/10/2014,21
142,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,red,Bob,5/19/2021,Argentina,41.47,52,5/22/2002,22
146,5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5,red,Bob,12/22/2021,France,37.85,19,5/25/2001,23
147,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5,red,Bob,1/18/2021,Australia,74.17,63,6/13/2000,24
150,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6,red,Bob,5/30/2021,Spain,27.89,96,5/9/2013,25
159,6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6,red,Bob,7/28/2022,France,97.44,2,10/11/2003,26
161,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4,red,Bob,10/22/2020,Italy,89.79,47,3/28/2001,27
168,6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6,red,Bob,1/24/2021,Italy,38.23,56,1/26/2005,28
169,7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5,red,Bob,3/6/2021,Australia,97.88,97,3/10/2006,29
172,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,red,Bob,7/15/2022,Italy,24.67,29,2/20/2018,30
175,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5,red,Bob,2/15/2020,Australia,26.97,74,2/23/2012,31
